Date,Open,High,Low,Close,Adj Close,Volume
2019-05-06,7.200000,7.620000,7.180000,7.560000,7.560000,8365600
2019-05-07,7.450000,7.560000,7.180000,7.490000,7.490000,9891200
2019-05-08,7.490000,7.970000,7.470000,7.920000,7.920000,7129300
2019-05-09,7.860000,8.150000,7.750000,8.100000,8.100000,5984500
2019-05-10,8.080000,8.140000,7.780000,7.980000,7.980000,5975000
2019-05-13,7.870000,7.950000,7.490000,7.630000,7.630000,6343800
2019-05-14,7.720000,8.060000,7.690000,7.900000,7.900000,6914200
2019-05-15,7.770000,8.190000,7.690000,8.100000,8.100000,7394600
2019-05-16,8.140000,8.470000,8.140000,8.320000,8.320000,6841700
2019-05-17,8.210000,8.330000,8.140000,8.180000,8.180000,5679300
2019-05-20,8.170000,8.340000,7.580000,7.620000,7.620000,8449800
2019-05-21,7.710000,7.910000,7.660000,7.850000,7.850000,9525000
2019-05-22,7.770000,7.810000,7.210000,7.440000,7.440000,11228300
2019-05-23,7.300000,7.300000,6.910000,7.000000,7.000000,7927300
2019-05-24,7.110000,7.200000,6.650000,6.810000,6.810000,8082700
2019-05-28,6.830000,6.910000,6.570000,6.620000,6.620000,6382100
2019-05-29,6.480000,6.680000,6.330000,6.670000,6.670000,7230400
2019-05-30,6.660000,6.820000,6.370000,6.440000,6.440000,7295900
2019-05-31,6.250000,6.520000,6.210000,6.250000,6.250000,5482700
2019-06-03,6.300000,6.430000,6.170000,6.310000,6.310000,5813100
2019-06-04,6.380000,6.710000,6.350000,6.530000,6.530000,4976800
2019-06-05,6.510000,6.540000,6.080000,6.190000,6.190000,7365700
2019-06-06,6.180000,6.360000,6.030000,6.330000,6.330000,10892300
2019-06-07,6.320000,6.450000,6.190000,6.270000,6.270000,8717600
2019-06-10,6.260000,6.340000,6.100000,6.160000,6.160000,6555600
2019-06-11,6.300000,6.440000,6.200000,6.330000,6.330000,4617100
2019-06-12,6.210000,6.260000,6.040000,6.170000,6.170000,6679300
2019-06-13,6.300000,6.330000,6.000000,6.190000,6.190000,9685900
2019-06-14,6.200000,6.270000,5.920000,6.010000,6.010000,8705700
2019-06-17,5.960000,6.300000,5.870000,6.270000,6.270000,5249300
2019-06-18,6.290000,6.630000,6.280000,6.530000,6.530000,6305500
2019-06-19,6.530000,6.530000,6.270000,6.360000,6.360000,5781100
2019-06-20,6.570000,6.710000,6.490000,6.630000,6.630000,7242700
2019-06-21,6.670000,6.750000,6.390000,6.390000,6.390000,5869300
2019-06-24,6.380000,6.460000,6.200000,6.260000,6.260000,5501300
2019-06-25,6.240000,6.340000,6.170000,6.250000,6.250000,5110300
2019-06-26,6.380000,6.570000,6.330000,6.410000,6.410000,5644800
2019-06-27,6.410000,6.530000,6.290000,6.370000,6.370000,5449500
2019-06-28,6.410000,6.670000,6.360000,6.590000,6.590000,9283100
2019-07-01,6.960000,7.010000,6.580000,6.670000,6.670000,6462800
2019-07-02,6.670000,6.670000,6.230000,6.240000,6.240000,6261500
2019-07-03,6.270000,6.360000,6.180000,6.240000,6.240000,2199500
2019-07-05,6.200000,6.590000,6.200000,6.490000,6.490000,3181600
2019-07-08,6.430000,6.540000,6.330000,6.400000,6.400000,5098400
2019-07-09,6.370000,6.500000,6.260000,6.480000,6.480000,4422100
2019-07-10,6.590000,6.740000,6.570000,6.710000,6.710000,6044400
2019-07-11,6.730000,6.760000,6.370000,6.530000,6.530000,7705700
2019-07-12,6.540000,6.590000,6.400000,6.400000,6.400000,2824900
2019-07-15,5.670000,5.840000,5.310000,5.380000,5.380000,57244500
2019-07-16,5.450000,5.810000,5.430000,5.730000,5.730000,55691100
2019-07-17,5.700000,5.700000,5.180000,5.220000,5.220000,41458000
2019-07-18,5.240000,5.240000,4.730000,4.800000,4.800000,33556000
2019-07-19,4.800000,4.920000,4.730000,4.870000,4.870000,16953200
2019-07-22,4.880000,5.180000,4.870000,5.130000,5.130000,22009600
2019-07-23,5.130000,5.420000,5.120000,5.380000,5.380000,21007200
2019-07-24,5.360000,5.530000,5.160000,5.240000,5.240000,21728900
2019-07-25,5.290000,5.340000,4.920000,4.980000,4.980000,12950900
2019-07-26,4.990000,5.050000,4.850000,4.870000,4.870000,14624900
2019-07-29,4.890000,4.930000,4.670000,4.750000,4.750000,13754100
2019-07-30,4.750000,5.100000,4.670000,5.060000,5.060000,12262100
2019-07-31,5.080000,5.160000,4.870000,4.920000,4.920000,12842800
2019-08-01,4.800000,4.850000,4.320000,4.550000,4.550000,17588300
2019-08-02,4.570000,4.660000,4.460000,4.570000,4.570000,9650700
2019-08-05,4.420000,4.430000,4.130000,4.330000,4.330000,13013100
2019-08-06,4.370000,4.460000,4.230000,4.330000,4.330000,17141100
2019-08-07,4.310000,4.900000,4.260000,4.790000,4.790000,19251600
2019-08-08,4.900000,5.060000,4.740000,5.040000,5.040000,17129200
2019-08-09,5.050000,5.220000,4.970000,5.160000,5.160000,15324700
2019-08-12,5.120000,5.160000,4.680000,4.700000,4.700000,11580700
2019-08-13,4.660000,4.930000,4.530000,4.570000,4.570000,16788700
2019-08-14,4.400000,4.420000,4.080000,4.220000,4.220000,25710400
2019-08-15,4.210000,4.370000,4.150000,4.290000,4.290000,14230100
2019-08-16,4.340000,4.550000,4.250000,4.510000,4.510000,18426900
